man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Sentiment,words_tk_relevant_joined,predicted_cluster
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
dudeee i LOVED brokeback mountain!!!!,dudeee loved brokeback mountain!!!!,14
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,either love brokeback mountain think great homosexuality becoming acceptable!:,35
"Anyway, thats why I love \" Brokeback Mountain.","anyway, thats love brokeback mountain.",79
Brokeback mountain was beautiful...,brokeback mountain beautiful...,144
I love Brokeback Mountain.,love brokeback mountain.,138
I love Brokeback Mountain....,love brokeback mountain....,4
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..","like,'yeah got acne love brokeback mountain '..",64
Brokeback Mountain was so awesome.,brokeback mountain awesome.,3
Brokeback Mountain was an AWESOME movie.,brokeback mountain awesome movie.,54
man i loved brokeback mountain!,man loved brokeback mountain!,137
